region		FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
BRICS	Construction	0	0	0	0	0	0	0	46.6949328485	6.2910978528e-05	0.956906628385	1673.42565937	0.536617981084	0	0	53308.1146433	183.601032672	1557.8911157	2897583.87307	0	0	0	0.12547066958	0.0240651037107	0.0105947234315	1366.96653521	0.697748274301	0	0	68.9875383786	0.00593037900692	0.550990897903	4797.60846641	0	0	0
BRICS	Automobile	0	0	0	0	0	0	0	1384.96636374	2.39447241511	0.820569445197	2630.64388846	51.1946409011	0	0	91034.3374488	1937.51979329	1994.34857378	346373.571119	8080.49580601	0	0	8260.75172615	0	0	10987.8362652	323.076353902	0	0	17532.2142396	0.0359894943148	2.1174407185	18798.3317366	57.6396878465	0	0
BRICS	Oth transport equipment	2661.52955563	0	152.296999398	4733.55343805	565.548731415	0	0	821.877625328	9.32972377991	14.2368013386	1817.73942424	144.486700286	0	0	6730.63531729	16.8240218477	17.5733156311	190851.250253	11191.7423012	0	0	1705.23327063	0	5.18171662802	7460.66048914	219.340940184	0	0	3536.2063076	0.00111973925919	9.06608733465	16837.8779231	16.6582586665	0	0
BRICS	Machinery	0	0	0	0	0	0	0	3657.75071979	32.3711211567	192.404484585	19027.2924164	550.062491642	0	0	92311.6268138	798.993812143	647.250315489	829542.073349	36236.161624	0	0	21063.4378311	0	65.3258112238	66114.5203544	856.304757632	0	0	23598.4454021	0.0488847466011	1965.98351953	127805.979305	434.262129016	0	0
BRICS	Electronics	6500.53650631	0	0	9689.44926007	684.134751456	0	0	10849.8577559	121.498442767	13.330585812	7628.69387624	677.653755864	0	0	34764.0352043	2626.31103985	2654.36890848	87039.6366878	14199.7954197	0	0	30655.4540542	0	12.2510167423	63183.152844	1752.77249588	0	0	59959.6372207	0.28360505946	3.44000317042	137823.885907	163.358017913	0	0
BRICS	Fossil fuels	0	0	0	0	0	0	0	3372.96844287	2.29871998907	30.6478794228	0.00470848189313	1204.80907868	0	0	107855.91478	3918.99409511	4128.71896762	1.01773745999e-07	19847.0445292	0	0	6660.4179684	0	10.5796591461	0.557095571002	342.542402742	0	0	15621.7699369	0.85093395656	5.07448402585	0.000709475544028	17.2705190116	0	0
BRICS	Electricity and heat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30883.0967241	10113.4604033	24506.849174	0	1.29116454569	0	0	0.00827016905225	0	0	0	0	0	0	0.00131558848407	8.21914824954e-06	2.55364771425e-06	0	0	0	0
BRICS	Transport services	0	0	0	0	0	0	0	5220.21943631	0.421686745629	188.364323357	5.33242259795	0.683594892036	0	0	181962.923976	11381.0526544	24040.3773029	8500.80992115	3199.8118945	0	0	7215.88491225	10.576119351	14.5190475982	85.9495162194	28.5370341345	0	0	1209.81609279	2.16459223578	17.0436076803	12.4854027236	18.9663742557	0	0
BRICS	Composite	0	0	0	0	0	0	0	26682.7493367	321.54858461	1589.46344849	4503.03506256	185.879643019	0	0	2993342.03539	1327100.69095	2286460.76021	508736.480358	49071.9349549	0	0	114166.963473	657.038032492	1215.70443475	13927.7752316	973.069078218	0	0	50059.7477537	180.326191454	986.438252768	39027.5724775	159.035549331	0	0
Other_OECD	Agriculture	9672.24466906	0	0	131.943361082	405.1063866	0	0	7933.63135228	14.2917157726	7.29306619973	32.9166004235	158.270566002	0	0	4105.04944628	1264.20303313	1515.3279737	565.358121023	71.9167187562	0	0	162071.062024	437.317209864	619.58264839	7029.83618003	23922.432706	0	0	11001.326864	0.457561844817	11.6310728594	265.274341981	12.0264203352	0	0
Other_OECD	Crude coal	0	0	0	0	0	0	0	146.10118725	0.167951268202	13.3674418846	0.24709815351	14.3295944443	0	0	0.314485421779	1.35253448529	2.58481649946	2.42748100286e-08	18.5512693691	0	0	2200.01378249	9.41299486009e-07	214.070151976	270.349296476	297.284779878	0	0	66.1243630109	0.00115270011389	0.315656734547	0.259996812659	0.00173752143776	0	0
Other_OECD	Crude oil	0	0	0	0	0	0	0	0	0	0.00500018177778	6.68324102107	0.723136669843	0	0	0	0	0	0	4.12785472638	0	0	0	0	0	39693.1663264	1410.59725932	0	0	0	2.62503886866e-08	1.25570395761e-05	441.190215718	2.45149975569	0	0
Other_OECD	Natural gas	0	0	0	0	0	0	0	1.02315513953e-06	0	0	1122.9415207	12355.4723578	0	0	0.0436014448965	0.00180356056682	0.0168340973624	4.39031401703e-07	0.114844841493	0	0	97013.27584	7.25505224943	7.26068314998	100513.385906	4697.65845996	0	0	45.2476363491	2.5682222452e-05	0.0143615001215	70.5331719982	336.376334286	0	0
Other_OECD	Extractive industry	0	0	0	0	0	0	0	47.7240081177	0	0.00014278443916	8.7064827494	299.733075909	0	0	9.15207115533	0	0	0	198.148632406	0	0	468.537015471	6.86721335902	1.52834209824	16991.0249026	1816.36610122	0	0	12.6738936761	1.8719179253e-06	0.127284514235	0.343814859535	841.746743556	0	0
Other_OECD	Biomass_industry	0	0	0	0	0	0	0	14773.8015717	756.996819126	30.844283946	94.4225991738	430.459721114	0	0	11255.8400176	53.2590845737	39.587936054	12.0196791535	201.862322892	0	0	1271378.62248	96.4437439851	3335.70778288	5314.46894416	21320.95377	0	0	53932.3068881	2.48998768443	149.992351823	874.17920331	31.1336012931	0	0
Other_OECD	Clothing	0	0	0	0	0	0	0	16176.5034616	11.4206866101	12.6300745898	114.740998684	168.979963997	0	0	1839.16871663	5.1342374363	6.43126875317	4.17128588381	96.4116048253	0	0	200213.903645	0	34.0799187133	5347.66200196	6722.49885835	0	0	19147.5455892	0.235357741719	4.5046697853	853.562443123	280.488152495	0	0
Other_OECD	Heavy_industry	11099.4050299	0	4517.29967774	0.108831403885	62.6110104054	0	0	11115.8818771	92.5993904344	5414.57982125	441.302585309	819.880357123	0	0	8178.59048547	64.5112914149	104.408024898	667.568401732	1399.16282237	0	0	318676.947253	1385.03087919	3622.9121407	4576.17917323	26241.2741721	0	0	72095.4950576	108.509628893	91.6947356988	1197.62309828	246.193095168	0	0
Other_OECD	Construction	0	0	0	0	0	0	0	99.8572121049	0.00014265077759	2.07674046466	3541.14186703	1.22460748592	0	0	58.0030433504	0	0	3925.54393973	0	0	0	2412.78211742	231.135458518	232.041817415	2714074.87636	2638.31562879	0	0	146.084736825	0.0125485923812	1.16622852403	10156.7353341	0	0	0
Other_OECD	Automobile	0	0	0	0	0	0	0	9521.80244099	12.091570856	4.68315868747	17153.8369383	475.215051879	0	0	12311.3835899	79.3751178932	64.5592810017	29842.0118813	2049.93321695	0	0	281041.951838	0	0	420133.415227	25270.9924127	0	0	37410.9986109	0.0678425468384	10.6914881956	45137.2951988	99.4791629604	0	0
Other_OECD	Oth transport equipment	0	0	0	0	0	0	0	4700.90754458	59.5075528801	78.2717885667	17416.0859952	880.503228725	0	0	936.371426365	2.67757458634	1.41512825117	16259.5598355	2240.31462922	0	0	25690.5859687	0	77.5729514652	149112.206299	6538.2614839	0	0	6243.65420963	0.00209009964697	11.16006974	28117.3783244	93.684061203	0	0
